date,state,update_time,last_check,positives_total,positives_white,positives_black,positives_latinx,positives_asian,positives_aiain,positives_nhpi,positives_multiracial,positives_other,positives_race_unknown,positives_percent_race_unknown,positives_hispanic,positives_nonhispanic,positives_ethnicity_unknown,positives_percent_ethnicity_unknown,total_deaths,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_race_unknown,deaths_percent_race_unknown,deaths_hispanic,deaths_nonhispanic,deaths_ethnicity_unknown,deaths_percent_ethnicity_unknown,negatives_white,negatives_black,negatives_latinx,negatives_asian,negatives_aian,negatives_nhpi,negatives_multiracial,negatives_other,negatives_race_unknown,negatives_percent_race_unknown,negatives_hispanic,negatives_nonhispanic,negatives_ethnicity_unknown,negatives_percent_ethnicity_unknown,,,,,,,,,,,,,,,,,,,
20200607,MA,6/3/20 10:00,6/7/20 22:21,103436,29893,9619,19239,2068,,,,5068,37547,36%,19239,46648,37547,36%,7316,5369,607,490,190,,,,504,153,2%,490,6670,153,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,MD,6/7/20 10:00,6/7/20 22:15,57973,11319,16593,15040,1093,,,,2882,11046,19%,15040,31887,11046,19%,2749,1173,1143,262,107,,,,32,32,1%,262,2455,32,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,ME,6/7/20 12:15,6/7/20 21:22,2570,1558,526,,36,6,1,11,53,379,15%,71,1924,575,22%,99,85,1,,,,,,1,12,12%,0,79,20,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,MI,6/7/20 0:00,6/7/20 22:27,64413,23952,18991,,1427,237,,4574,3447,11785,18%,4508,41224,18679,29%,5895,3027,2345,,76,19,,96,113,219,4%,117,4833,943,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,MN,6/7/20 12:00,6/7/20 21:22,27866,9704,6148,,1827,229,71,536,3527,5844,21%,5958,15580,6348,23%,1186,715,76,,35,13,1,6,11,329,28%,30,771,385,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,MO,6/7/20 15:00,6/7/20 21:35,14553,6316,4525,,,,,343,934,2425,17%,1298,9696,3557,24%,809,466,287,,,,,7,19,28,3%,18,695,95,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,MP,6/7/20 0:00,6/7/20 21:40,27,,,,,,,,,27,100%,,,,,2,,,,,,,,,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,MS,6/6/20 19:00,6/7/20 21:00,17270,4814,9333,978,59,812,,,588,686,4%,978,13671,2621,15%,817,345,420,13,0,34,,,3,2,0%,13,761,43,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,MT,6/7/20 0:00,6/7/20 21:56,545,462,2,,1,69,,,4,7,1%,30,489,26,5%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,NC,6/7/20 0:00,6/7/20 22:04,35546,13788,7078,,677,231,96,,3720,9956,28%,10049,14427,11070,31%,996,585,327,,13,6,3,,42,20,2%,65,903,28,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,ND,6/7/20 13:00,6/7/20 23:23,2861,,,,,,,,,2861,100%,,,,,72,,,,,,,,,72,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,NE,6/7/20 18:00,6/7/20 23:23,15634,,,,,,,,,15634,100%,,,,,188,,,,,,,,,188,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,NH,6/7/20 0:00,6/7/20 23:11,5043,2751,248,373,116,,,,269,1286,26%,373,3384,1286,26%,286,164,6,8,2,,,,13,93,33%,8,185,93,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,NJ,6/6/20 22:00,6/7/20 23:34,164164,33159,16090,28271,4770,,,,11074,70800,43%,28271,65093,70800,43%,12176,6449,2218,2445,683,,,,192,378,3%,2445,9542,378,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,NM,6/7/20 18:04,6/7/20 22:18,8940,1020,192,2308,57,4925,,,,438,5%,2308,6194,438,5%,396,,,,,,,,,396,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,NV,6/7/20 11:00,6/7/20 22:25,9649,2424,773,2231,698,58,,,,3465,36%,2231,3953,3465,36%,438,204,55,69,66,3,,,,41,9%,69,328,41,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,NY,6/7/20 12:00,6/7/20 21:23,378097,,,,,,,,,378097,100%,,,,,26006,7900,5788,6143,1563,,,,1763,2849,11%,6143,17014,2849,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,OH,6/7/20 14:00,6/7/20 22:25,38476,19655,9517,,1132,42,102,1520,2885,3623,9%,2896,26693,8887,23%,2377,1850,418,,21,,,33,19,34,1%,45,2272,60,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,OK,6/7/20 0:00,6/7/20 21:34,7150,4650,667,,218,472,,,294,849,12%,1428,4644,1078,15%,348,269,27,,2,24,,,8,18,5%,11,302,35,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
